site,log_id,species,fire_reduction_percent
6,458,ABAM,81.46569557
6,460,ABAM,100
6,461,ABAM,100
6,466,ABAM,100
6,467,ABAM,74.30813992
6,469,ABAM,45.15048817
6,478,ABAM,100
6,482,ABAM,100
6,483,ABAM,100
6,485,ABAM,97.77060294
6,489,ABAM,99.43117448
6,491,ABAM,100
6,494,ABAM,100
6,496,ABAM,100
6,500,ABAM,100
6,515,ABAM,87.48007523
6,518,ABAM,100
6,528,ABAM,100
6,459,PSME,43.72671446
6,472,PSME,57.38664026
6,474,PSME,51.5260182
6,476,PSME,36.96398321
6,487,PSME,52.30249017
6,493,PSME,71.66894952
6,497,PSME,49.21497053
6,498,PSME,26.72687065
6,502,PSME,80.89966066
6,504,PSME,18.68788792
6,505,PSME,31.85629375
6,506,PSME,19.81746034
6,508,PSME,74.74970683
6,512,PSME,36.55069322
6,514,PSME,66.10738314
6,522,PSME,34.38560376
6,523,PSME,24.32906519
6,457,THPL,42.65764817
6,464,THPL,55.34193052
6,470,THPL,28.27761267
6,471,THPL,14.72302157
6,473,THPL,37.14865009
6,475,THPL,61.89780029
6,477,THPL,27.294355
6,479,THPL,43.25339647
6,480,THPL,21.80711737
6,481,THPL,52.51048156
6,484,THPL,42.3675258
6,486,THPL,96.99663631
6,501,THPL,21.95948827
6,511,THPL,44.95594167
6,516,THPL,28.43230989
6,517,THPL,14.70779463
6,521,THPL,63.49521716
6,526,THPL,97.00754931
6,527,THPL,59.28143972
6,462,TSHE,53.38823267
6,463,TSHE,91.21638031
6,465,TSHE,54.47218832
6,468,TSHE,44.97060295
6,488,TSHE,69.37521974
6,490,TSHE,67.40441764
6,492,TSHE,42.10352202
6,495,TSHE,88.17944955
6,499,TSHE,47.27368807
6,503,TSHE,87.65847291
6,507,TSHE,75.56743754
6,509,TSHE,51.56186614
6,510,TSHE,57.03302543
6,513,TSHE,94.91552722
6,519,TSHE,63.37582077
6,520,TSHE,88.24568755
6,524,TSHE,87.27297048
6,525,TSHE,54.88417143
5,367,ABAM,95.82925804
5,370,ABAM,100
5,377,ABAM,100
5,383,ABAM,100
5,390,ABAM,91.49277508
5,393,ABAM,100
5,394,ABAM,96.22708962
5,400,ABAM,100
5,401,ABAM,100
5,405,ABAM,100
5,409,ABAM,100
5,411,ABAM,100
5,417,ABAM,100
5,434,ABAM,100
5,440,ABAM,100
5,441,ABAM,99.90039494
5,451,ABAM,100
5,452,ABAM,100
5,361,PSME,44.88555958
5,364,PSME,14.59768961
5,365,PSME,50.37251856
5,372,PSME,28.80379536
5,374,PSME,89.95335649
5,378,PSME,68.96908798
5,379,PSME,46.91961197
5,380,PSME,72.06045527
5,386,PSME,55.76100203
5,391,PSME,44.17197623
5,399,PSME,90.03704325
5,402,PSME,52.86808295
5,403,PSME,81.53945486
5,407,PSME,58.41996358
5,415,PSME,73.19814074
5,418,PSME,72.64865013
5,423,PSME,44.13944978
5,424,PSME,57.69064018
5,425,PSME,59.21067049
5,428,PSME,77.70063208
5,431,PSME,49.13967851
5,433,PSME,20.38126313
5,436,PSME,57.17445327
5,437,PSME,35.45781692
5,447,PSME,43.11174377
5,448,PSME,58.41457094
5,449,PSME,51.52325578
5,450,PSME,30.60625976
5,454,PSME,87.38810885
5,455,PSME,47.72538521
5,362,THPL,29.95974058
5,366,THPL,66.05499644
5,373,THPL,93.4567221
5,382,THPL,65.24796812
5,384,THPL,92.15686868
5,387,THPL,41.70932022
5,389,THPL,28.21182235
5,397,THPL,39.87038315
5,421,THPL,78.8465257
5,427,THPL,78.64821239
5,432,THPL,94.43844922
5,435,THPL,82.32397596
5,438,THPL,75.23703239
5,439,THPL,17.38307902
5,442,THPL,100
5,443,THPL,53.47970485
5,446,THPL,76.01964684
5,456,THPL,27.28176045
5,363,TSHE,75.46329165
5,368,TSHE,96.92427078
5,369,TSHE,99.90272462
5,371,TSHE,95.72266504
5,375,TSHE,98.82316771
5,376,TSHE,44.7147733
5,381,TSHE,84.95147617
5,385,TSHE,96.3181906
5,388,TSHE,100
5,392,TSHE,78.01254597
5,395,TSHE,69.63436237
5,396,TSHE,88.46641136
5,398,TSHE,72.53346975
5,404,TSHE,100
5,406,TSHE,58.59156826
5,408,TSHE,95.57702134
5,410,TSHE,91.51671896
5,412,TSHE,87.21575227
5,413,TSHE,90.5322182
5,414,TSHE,96.36243068
5,416,TSHE,92.86127234
5,419,TSHE,82.91221215
5,420,TSHE,77.05335912
5,422,TSHE,45.00745165
5,426,TSHE,99.70311682
5,429,TSHE,75.85172219
5,430,TSHE,94.61657961
5,444,TSHE,82.36709093
5,445,TSHE,62.30148177
5,453,TSHE,87.59470768
4,270,ABAM,100
4,290,ABAM,100
4,292,ABAM,99.82878544
4,295,ABAM,100
4,296,ABAM,100
4,297,ABAM,100
4,301,ABAM,100
4,315,ABAM,100
4,322,ABAM,100
4,323,ABAM,83.18664573
4,325,ABAM,100
4,326,ABAM,100
4,328,ABAM,100
4,342,ABAM,100
4,344,ABAM,98.65535141
4,346,ABAM,100
4,356,ABAM,100
4,900,ABAM,100
4,266,PSME,81.92601964
4,267,PSME,100
4,269,PSME,100
4,273,PSME,74.71283571
4,277,PSME,64.73724626
4,278,PSME,42.24514685
4,279,PSME,41.8550388
4,280,PSME,54.00360359
4,288,PSME,31.47791425
4,298,PSME,36.45645083
4,302,PSME,67.37065461
4,303,PSME,38.06465399
4,309,PSME,62.97826839
4,311,PSME,100
4,312,PSME,100
4,314,PSME,51.14207024
4,316,PSME,50.32887997
4,317,PSME,84.04162449
4,318,PSME,36.26723127
4,321,PSME,77.45459692
4,324,PSME,65.62525001
4,335,PSME,86.28361089
4,337,PSME,24.46775592
4,343,PSME,24.85055532
4,345,PSME,71.83603907
4,348,PSME,75.25947776
4,353,PSME,42.06284584
4,354,PSME,48.19764721
4,355,PSME,35.12530866
4,357,PSME,2.350548845
4,268,THPL,54.73665765
4,272,THPL,75.27119163
4,275,THPL,86.88494783
4,281,THPL,40.61604766
4,286,THPL,96.82659577
4,300,THPL,69.37809196
4,305,THPL,91.51374713
4,307,THPL,72.95373766
4,327,THPL,91.81713077
4,329,THPL,79.80416369
4,330,THPL,55.43241701
4,331,THPL,14.86866669
4,332,THPL,10.7071651
4,339,THPL,64.68071658
4,341,THPL,70.50318722
4,349,THPL,82.89164465
4,359,THPL,22.95634095
4,360,THPL,17.79551021
4,265,TSHE,79.81063711
4,271,TSHE,100
4,274,TSHE,100
4,276,TSHE,100
4,282,TSHE,25.26358216
4,283,TSHE,84.97378221
4,284,TSHE,78.06410732
4,285,TSHE,98.11889962
4,287,TSHE,100
4,289,TSHE,100
4,291,TSHE,92.37508019
4,293,TSHE,99.88590272
4,294,TSHE,100
4,299,TSHE,61.16044723
4,304,TSHE,100
4,306,TSHE,100
4,308,TSHE,98.40881948
4,310,TSHE,78.08429813
4,313,TSHE,91.2325377
4,319,TSHE,100
4,320,TSHE,100
4,333,TSHE,81.97536951
4,334,TSHE,100
4,336,TSHE,100
4,338,TSHE,94.58294458
4,340,TSHE,100
4,347,TSHE,88.55471137
4,350,TSHE,100
4,351,TSHE,79.29814905
4,352,TSHE,100
4,358,TSHE,64.77347453
