site,log_id,species,end1_diameter_cm,middle_diameter_cm,end2_diameter_cm,length_m,moss_cover_perc,lichen_cover_perc,bark_cover_perc,char_perc,combustion_code,length_off_soil_m,harvested_code,times_sampled,length_adj,notes,
6,457,THPL,49,53,50,3.3,0,0,0,90,P,0,Y,1,1,A SECTION MAY HAVE ROLLED AWAY 0.56 M IN LENGTH AND 43 CM DIAM WITH INNER MISSING DIAMETER OF 21 CM,
6,458,ABAM,26,29,20,3,0,0,0,90,P,2.5,N,0,0,,
6,459,PSME,44,36,38,4.75,0,0,0,95,P,2,N,0,0,,
6,460,ABAM,0,0,0,0,0,0,0,0,C,0,N,0,0,,
6,461,ABAM,0,0,0,0,0,0,0,0,C,0,N,0,0,,
6,462,TSHE,45,42,31,4.13,0,0,0,90,P,0,N,0,0,,
6,463,TSHE,40.8900966,33.52174513,26.15339366,1.25,0,0,0,90,P,0,Y,1,1,"TWO PIECES: 88x19 CM DIAM, 0.65 M LONG; 38x18 CM 0.6 M LONG",
6,464,THPL,29,29,35,4.88,0,0,0,95,P,3,N,0,0,,
6,465,TSHE,32,31,32,5.5,0,0,0,95,P,3,N,0,0,,
6,466,ABAM,0,0,0,0,0,0,0,0,C,0,Y,2,1,,
6,467,ABAM,51,48,45,1,0,0,0,0,P,0,N,0,1,"TWO PIECES: 51 DIAM, 0.5 M LONG; 45 DIAM, 0.5 M LONG",
6,468,TSHE,30,34,32,4.6,0,0,0,95,P,0,Y,1,1,,
6,469,ABAM,22,35,44,4.5,0,0,0,95,P,0,Y,1,1,44 DIAM PIECES WAS HOLLOW 14 CM,
6,470,THPL,34,34,35,5.35,0,0,0,97,P,3.35,N,0,0,,
6,471,THPL,41,42,50,5.4,0,0,0,95,P,4.4,N,0,0,,
6,472,PSME,35.5,38.5,8.660254038,4.14,0,0,0,85,P,0.5,Y,1,1,MISSING COOKIES,
