site,log_id,species,approx_1_m3,approx_2_m3,prefire_vol_m3,vol_init_m3,length_init_m,x_sect_corr_m,fire_vol_reduction_m3,fire_reduction_perc,notes,,,,,,,,,,,
6,457,THPL,0.697068359,0.697068359,1.215625688,1.6864,5.46,0.375,0.518557329,42.65764817,A SECTION MAY HAVE ROLLED AWAY 0.56 M IN LENGTH AND 43 CM DIAM WITH INNER MISSING DIAMETER OF 21 CM,,,,,,,,,,,
6,458,ABAM,0.174358392,0.174358392,0.9407334,1.3814,5.49,0,0.766375008,81.46569557,,,,,,,,,,,,
6,459,PSME,0.532486865,0.532486865,0.9462516,1.0644,5.53,0,0.413764735,43.72671446,,,,,,,,,,,,
6,460,ABAM,0,0,1.2072768,1.7728,5.49,0,1.2072768,100,,,,,,,,,,,,
6,461,ABAM,0,0,0.5225994,0.7674,5.52,0,0.5225994,100,,,,,,,,,,,,
6,462,TSHE,0.542886322,0.542886322,1.164698,1.3543,5.59,0,0.621811678,53.38823267,,,,,,,,,,,,
6,463,TSHE,0.112096437,0.110426982,1.257192201,1.5716,5.37,0.375,1.146765219,91.21638031,"TWO PIECES: 88x19 CM DIAM, 0.65 M LONG; 38x18 CM 0.6 M LONG",,,,,,,,,,,
6,464,THPL,0.346863245,0.346863245,0.776709,1.0035,5.45,0,0.429845755,55.34193052,,,,,,,,,,,,
6,465,TSHE,0.424193548,0.424193548,0.931724,1.0834,5.55,0,0.507530452,54.47218832,,,,,,,,,,,,
6,466,ABAM,0,0,0.812341828,1.319,5.49,0.525,0.812341828,100,,,,,,,,,,,,
6,467,ABAM,0.181191356,0.181662595,0.7070823,1.0383,5.57,0,0.525419705,74.30813992,"TWO PIECES: 51 DIAM, 0.5 M LONG; 45 DIAM, 0.5 M LONG",,,,,,,,,,,
6,468,TSHE,0.39428035,0.39428035,0.716490405,0.8935,5.55,0.375,0.322210055,44.97060295,,,,,,,,,,,,
6,469,ABAM,0.431183592,0.408092886,0.744022822,1.1728,5.48,0.375,0.335929936,45.15048817,44 DIAM PIECES WAS HOLLOW 14 CM,,,,,,,,,,,
6,470,THPL,0.49056951,0.49056951,0.6839838,0.8837,5.48,0,0.19341429,28.27761267,,,,,,,,,,,,
6,471,THPL,0.794296725,0.794296725,0.9314316,1.2034,5.51,0,0.137134875,14.72302157,,,,,,,,,,,,
6,472,PSME,0.393667674,0.393667674,0.923812805,1.1149,5.52,0.375,0.530145131,57.38664026,MISSING COOKIES,,,,,,,,,,,
6,473,THPL,0.621187115,0.621187115,0.988343315,1.37,5.52,0.375,0.3671562,37.14865009,"MISSING COOKIES; FOUR PIECES 35 DIAM 0.95 LONG; 36 CM, 0.99 LONG; 41 DIAM, 1.01 LONG; 36 DIAM, 0.32 LONG; 15 x 5 CM DIAM, 0.87 LONG",,,,,,,,,,,
6,474,PSME,0.435889436,0.435889436,0.8992235,1.0115,5.49,0.375,0.463334064,51.5260182,,,,,,,,,,,,
6,475,THPL,0.304466143,0.304466143,0.7990776,1.0324,5.58,0,0.494611457,61.89780029,,,,,,,,,,,,
6,476,PSME,0.70883755,0.70883755,1.1244961,1.2649,5.59,0.375,0.41565855,36.96398321,,,,,,,,,,,,
6,477,THPL,0.562711604,0.562711604,0.773958616,1.0734,5.48,0.375,0.211247012,27.294355,MISSING COOKIES,,,,,,,,,,,
6,478,ABAM,0,0,0.6314232,0.9272,5.55,0.375,0.6314232,100,,,,,,,,,,,,
6,479,THPL,0.446104193,0.41747643,0.735685317,1.0504,5.52,0.525,0.318208887,43.25339647,MISSING COOKIES; HOLLOW 0.5 M O4 41 CM DIAM OF 27 CM,,,,,,,,,,,
6,480,THPL,0.599644953,0.599644953,0.7668792,0.9908,5.58,0,0.167234247,21.80711737,,,,,,,,,,,,
6,481,THPL,0.611634604,0.611634604,1.287936,1.664,5.48,0,0.676301396,52.51048156,,,,,,,,,,,,
6,482,ABAM,0,0,0.7891428,1.1588,5.5,0.525,0.7891428,100,"A BIT CONFUSING AS ANOTHER LOG IS OVERLAYING THIS LOG, BUT THAT LOG IS TOO LARGE A DIAM AND LENGTH",,,,,,,,,,,
6,483,ABAM,0,0,1.0669908,1.5668,5.48,0,1.0669908,100,NOT FOUND; ASSUMED COKPLETELY COMBUSTED,,,,,,,,,,,
6,484,THPL,0.600931206,0.540158372,0.937246543,1.3011,5.41,0.375,0.397088171,42.3675258,"MISSING COOKIES; SIX PIECES: 51 DIAM, 0.48 LONG, 40 DIAM, 0.36 LONG; 44 DIAM, 0.85 LONG; 49 DIAM, 0.93 LONG; 45 DIAM, 0.58 LONG",,,,,,,,,,,
6,485,ABAM,0.017162937,0.017306249,0.776274842,1.2243,5.44,0.375,0.758968593,97.77060294,"TWO PIECES: 16x 10 DIAM, 0.48 M LONG; 29x11 DIAM, 0.45 LONG",,,,,,,,,,,
6,486,THPL,0.033716049,0.033716049,1.1226096,1.4504,5.54,0,1.088893551,96.99663631,,,,,,,,,,,,
6,487,PSME,0.398419398,0.398419398,0.8353044,0.9396,5.56,0,0.436885002,52.30249017,,,,,,,,,,,,
