site,log_id,species,treatment,time,year,diam_end1,diam1,dist1,diam2,dist2,diam_mid,dist_mid,diam3,dist3,diam4,dist4,diam5,dist5,diam_end2,est_diam,length,length_up,bark_missing,orient,aspect,slope,branch,volume,surf_area,sample_date
4,265,TSHE,N,0,1987,49,,,,,47.5,2.8,,,,,,,44.7,N,5.57,2.6,0.4,25,10,22,15,0.9788,8.235,
4,266,PSME,E,0,1987,50.4,,,,,,,,,,,,,46.1,Y,5.5,,,,,,,1.0076,8.336,
4,267,PSME,N,0,1987,49,,,,,48.8,2.8,,,,,,,46.5,N,5.54,2,0.3,60,20,6,7,1.0217,8.37,
4,268,THPL,N,0,1987,58,,,,,54.2,2.8,,,,,,,47.5,N,5.54,0.8,0,70,25,9,35,1.2597,9.265,
4,269,PSME,N,0,1986,52,,,,,46,2.7,,,,,,,45,N,5.48,2.2,0.3,350,180,10,0,0.9464,8.206,
4,270,ABAM,N,0,1986,55,,,,,54,2.7,,,,,,,53.4,N,5.47,1.8,0.2,20,135,10,4,1.2559,9.301,
4,271,TSHE,N,0,1987,52,,,,,49.9,2.8,,,,,,,43.5,N,5.51,1.3,0.4,50,40,16,2,1.0499,8.389,
4,272,THPL,N,0,1987,52,,,,,46.4,2.8,,,,,,,44.5,N,5.54,1.9,0,50,30,16,33,0.9642,8.29,
4,273,PSME,N,0,1987,53,,,,,52.5,2.8,,,,,,,52.1,N,5.55,0,0.4,50,30,22,5,1.2022,9.158,
4,274,TSHE,N,0,1987,56,,,,,54,2.8,,,,,,,52.5,N,5.56,2,0.5,50,10,20,13,1.2778,9.46,
4,275,THPL,N,0,1986,52,,,,,47,2.8,,,,,,,44,N,5.5,0,0,180,155,15,21,0.9702,8.236,
4,276,TSHE,N,0,1987,51,,,,,47.5,2.7,,,,,,,44.5,N,5.49,3.2,0.5,50,20,27,18,0.9778,8.22,
4,277,PSME,N,0,1987,51,,,,,51.5,2.8,,,,,,,47,N,5.54,2.8,0,20,20,32,0,1.1182,8.672,
4,278,PSME,N,0,1987,51.5,,,,,49.5,2.8,,,,,,,48,N,5.51,2.1,0.2,20,20,36,1,1.0644,8.596,
4,279,PSME,N,0,1987,54,,,,,53,2.8,,,,,,,52,N,5.52,1.1,0.1,15,20,18,3,1.218,9.189,
4,280,PSME,N,0,1987,52.5,,,,,50.5,2.7,,,,,,,45.5,N,5.48,2.1,0.1,10,20,18,13,1.078,8.521,
4,281,THPL,N,0,1987,58,,,,,54.5,2.8,,,,,,,49,N,5.54,0,0,10,10,18,5,1.2797,9.369,
4,282,TSHE,N,0,1987,56,,,,,55.5,2.8,,,,,,,50,N,5.57,4,0.2,,0,31,0,1.3093,9.419,
4,283,TSHE,N,0,1986,60,,,,,58,2.8,,,,,,,56,N,5.58,2.2,0.2,315,150,15,5,1.4749,10.166,
4,284,TSHE,N,0,1987,51,,,,,53,2.8,,,,,,,50,N,5.53,3,0.3,330,0,28,4,1.1826,8.917,
4,285,TSHE,N,0,1987,57.5,,,,,56,2.8,,,,,,,54.5,N,5.5,0.4,0.5,20,,12,15,1.355,9.674,
4,286,THPL,N,0,1987,57.5,,,,,54.5,2.8,,,,,,,53,N,5.6,1.1,0.1,340,340,34,20,1.3192,9.675,
4,287,TSHE,N,0,1987,62,,,,,61,2.8,,,,,,,57,N,5.59,0.5,0.1,345,340,36,11,1.6081,10.535,
4,288,PSME,E,0,1987,56,,,,,,,,,,,,,53.4,Y,5.5,,,,,,,1.2932,9.45,
4,289,TSHE,N,0,1987,52,,,,,49,2.8,,,,,,,47,N,5.59,1.5,0,335,335,37,15,1.0623,8.662,
4,290,ABAM,N,0,1987,49,,,,,49,2.8,,,,,,,43,N,5.53,3,0,240,330,14,12,1.0029,8.165,
4,291,TSHE,N,0,1987,58,,,,,53,2.8,,,,,,,49,N,5.52,1.2,0.3,270,350,11,0,1.2284,9.248,
4,292,ABAM,N,0,1987,51,,,,,48.5,2.8,,,,,,,45,N,5.5,0.8,0.1,30,350,19,2,1.0104,8.322,
4,293,TSHE,E,0,1986,60,,,,,56,2.7,,,,,,,53,N,5.42,0.7,0.3,140,140,17,20,1.3447,9.591,
4,294,TSHE,E,0,1987,50.3,,,,,,,,,,,,,46.6,Y,5.5,,,,,,,1.0155,8.37,
4,295,ABAM,N,0,1987,58,,,,,51,2.8,,,,,,,51,N,5.5,0,0.2,,350,26,0,1.1785,9.215,
4,296,ABAM,N,0,1987,56,,,,,48,2.8,,,,,,,44,N,5.53,1.6,0.3,335,325,28,1,1.0343,8.571,
4,297,ABAM,N,0,1987,45,,,,,43.5,2.8,,,,,,,39,N,5.51,0.9,0.1,350,330,28,4,0.8017,7.356,
4,298,PSME,E,0,1987,45.5,,,,,,,,,,,,,43,Y,5.5,,,,,,,0.8465,7.644,
4,299,TSHE,E,0,1987,54.3,,,,,,,,,,,,,50.9,Y,5.5,,,,,,,1.1964,9.087,
4,300,THPL,N,0,1987,60,,,,,57,2.7,,,,,,,51,N,5.47,3.3,0.1,350,0,43,21,1.3745,9.623,
4,301,ABAM,N,0,1987,45,,,,,44.5,2.8,,,,,,,41,N,5.5,3.9,0.1,10,10,26,3,0.8371,7.515,
4,302,PSME,E,0,1987,50.6,,,,,,,,,,,,,49.6,Y,5.5,,,,,,,1.0844,8.655,
4,303,PSME,E,0,1987,57.5,,,,,,,,,,,,,47.6,Y,5.5,,,,,,,1.2035,9.08,
4,304,TSHE,N,0,1987,48.5,,,,,47,2.8,,,,,,,43.5,N,5.57,3.3,0.6,35,350,24,4,0.9537,8.107,
4,305,THPL,N,0,1987,47.5,,,,,48,2.8,,,,,,,42.5,N,5.58,3.7,0,30,350,22,15,0.9699,8.063,
4,306,TSHE,E,0,1987,61.3,,,,,,,,,,,,,58,Y,5.5,,,,,,,1.5382,10.305,
4,307,THPL,N,0,1987,47.5,,,,,48.5,2.8,,,,,,,43,N,5.62,1.8,0,5,5,28,31,0.9942,8.18,
4,308,TSHE,E,0,1987,58.9,,,,,,,,,,,,,46.8,Y,5.5,,,,,,,1.2224,9.132,
